TaxaID	superkingdom	phylum	class	order	family	genus	Prevalence	FistQuantile	Median	Mean	ThirdQuantile	Max
Fusobacterium	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0.245192307692308	0	0	0.00499592842468395	0	0.0809128630705394
Mammaliicoccus	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	0.0336538461538462	0	0	0.00104872107999497	0	0.188559322033898
Murdochiella	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Murdochiella	0.0817307692307692	0	0	0.00211709016911413	0	0.0885311871227364
Flavonifractor	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	0.0576923076923077	0	0	0.000412204121934426	0	0.0161943319838057
Tannerella	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	0.0625	0	0	0.000295067000476064	0	0.0184049079754601
Weizmannia	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Weizmannia	0.0432692307692308	0	0	0.000211478341146109	0	0.0148936170212766
Lachnoanaerobaculum	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoanaerobaculum	0.0913461538461538	0	0	0.000830596592267048	0	0.0542168674698795
Herbinix	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Herbinix	0.0432692307692308	0	0	0.000108565302299622	0	0.0040650406504065
Prevotella	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0.201923076923077	0	0	0.0102432534525273	0	0.3420523138833
Janthinobacterium	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	0.211538461538462	0	0	0.00173010557542896	0	0.040169133192389
Haemophilus	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0.403846153846154	0	0	0.0198030910147835	0.0120846289860374	0.402439024390244
Clostridium	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	0.0913461538461538	0	0	0.00101717990178012	0	0.062374245472837
Paeniclostridium	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Paeniclostridium	0.0625	0	0	0.000206482508320569	0	0.0082135523613963
Rhizobacter	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Rhizobacter	0.134615384615385	0	0	0.000860363032936408	0	0.0328638497652582
Pseudomonas	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.221153846153846	0	0	0.00248724844319731	0	0.123481781376518
Citrobacter	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	0.100961538461538	0	0	0.00040276694998415	0	0.00950118764845606
Sphingomonas	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0.894230769230769	0.0157026595569599	0.119072736011209	0.241862951441653	0.427628899650407	0.968
Clostridioides	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	0.0961538461538462	0	0	0.00037750769085327	0	0.0123203285420945
Crassaminicella	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Crassaminicella	0.0528846153846154	0	0	0.000266981098234931	0	0.0102669404517454
Porphyromonas	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0.105769230769231	0	0	0.00143857665641946	0	0.0461847389558233
Anaerocolumna	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerocolumna	0.0384615384615385	0	0	9.82661483388319e-05	0	0.00410677618069815
Klebsiella	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	0.168269230769231	0	0	0.00135673731345277	0	0.0285035629453682
Parvimonas	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	0.216346153846154	0	0	0.0107202014930813	0	0.278118609406953
Abiotrophia	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	0.168269230769231	0	0	0.00360258558187026	0	0.117886178861789
Alkaliphilus	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Alkaliphilus	0.0432692307692308	0	0	0.000131154480669628	0	0.00442477876106195
Aerococcus	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	0.192307692307692	0	0	0.0011539799799767	0	0.0252100840336134
Priestia	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	0.0384615384615385	0	0	0.000196864300861171	0	0.0184049079754601
Bacteroides	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0.0240384615384615	0	0	0.000109543270821702	0	0.0145833333333333
Methylobacterium	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	0.274038461538462	0	0	0.00658742973003963	0.00202842270511443	0.674846625766871
Edwardsiella	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Hafniaceae	Edwardsiella	0.0576923076923077	0	0	0.000158327052736784	0	0.00628930817610063
Proteus	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	0.0432692307692308	0	0	0.000170925210791192	0	0.0170575692963753
Moraxella	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella	0.399038461538462	0	0	0.0361411709353364	0.0101421135255722	0.552083333333333
Limosilactobacillus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.0769230769230769	0	0	0.00221084017670326	0	0.134171907756813
Cutibacterium	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	0.514423076923077	0	0.00201005228156085	0.0218523057464527	0.012152133580705	0.487951807228916
Pasteurella	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	0.0625	0	0	0.000464884811586999	0	0.0434782608695652
Carnobacterium	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	0.168269230769231	0	0	0.000941066772996289	0	0.0357142857142857
Serratia	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	0.0961538461538462	0	0	0.000547838782369602	0	0.0203665987780041
Pedobacter	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	0.0240384615384615	0	0	0.000811540679467119	0	0.079002079002079
Leclercia	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia	0.0336538461538462	0	0	0.000100853537561466	0	0.00442477876106195
Acidovorax	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	0.110576923076923	0	0	0.00136992244016847	0	0.118834080717489
Lacticaseibacillus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	0.0288461538461538	0	0	0.000420109176511768	0	0.0464646464646465
Methylorubrum	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylorubrum	0.201923076923077	0	0	0.00327515676311123	0	0.0943396226415094
Stutzerimonas	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Stutzerimonas	0.0192307692307692	0	0	0.000189064733186034	0	0.0166320166320166
Vagococcus	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	0.197115384615385	0	0	0.00117472032280517	0	0.0252100840336134
Filifactor	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Filifactor	0.105769230769231	0	0	0.00334140952295383	0	0.130879345603272
Lancefieldella	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	0.0576923076923077	0	0	0.00059992396265556	0	0.028169014084507
Phascolarctobacterium	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	0.0721153846153846	0	0	0.000417922459661427	0	0.020703933747412
Gudongella	Bacteria	Bacillota	Tissierellia	Tissierellales	Tissierellaceae	Gudongella	0.0288461538461538	0	0	9.87310971559646e-05	0	0.00607287449392713
