TaxaID	superkingdom	phylum	class	order	family	genus	species	Prevalence	FistQuantile	Median	Mean	ThirdQuantile	Max
537973	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei	0.0192307692307692	0	0	0.000284015835550273	0	0.0464646464646465
1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	0.0721153846153846	0	0	0.000176965079839944	0	0.00607287449392713
28131	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella intermedia	0.105769230769231	0	0	0.000561939684180621	0	0.0224948875255624
47917	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia fonticola	0.0336538461538462	0	0	0.000119273834103167	0	0.00840336134453781
51665	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus urinaeequi	0.0625	0	0	0.000236433098648044	0	0.0122448979591837
190721	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia insidiosa	0.192307692307692	0	0	0.00444921563397364	0	0.162932790224033
278148	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium ciceri	0.0336538461538462	0	0	0.000158579947467634	0	0.0154185022026432
408	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylorubrum	Methylorubrum extorquens	0.168269230769231	0	0	0.00138807021254872	0	0.0388548057259714
137545	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia quinivorans	0.0384615384615385	0	0	9.93089757172323e-05	0	0.00610997963340122
40214	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	0.105769230769231	0	0	0.00239211025263817	0	0.0884955752212389
1292	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus warneri	0.168269230769231	0	0	0.00284452625875589	0	0.130612244897959
546	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	0.0576923076923077	0	0	0.000221006803046125	0	0.00712589073634204
1290	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus hominis	0.230769230769231	0	0	0.0056712901536949	0	0.275720164609054
28151	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia proteamaculans	0.0384615384615385	0	0	0.000189493307454307	0	0.0104166666666667
2748	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium divergens	0.105769230769231	0	0	0.000256821578013059	0	0.00422832980972516
200450	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas trivialis	0.0144230769230769	0	0	9.81503632214603e-05	0	0.0121457489878543
1314884	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidophilus	0.0384615384615385	0	0	0.000179080779828665	0	0.00816326530612245
29430	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	0.0432692307692308	0	0	0.00018162604985404	0	0.0132743362831858
47770	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus	0.0817307692307692	0	0	0.000997729029088069	0	0.0589430894308943
33011	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium granulosum	0.0480769230769231	0	0	0.000633594617269901	0	0.0461847389558233
316	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Stutzerimonas	Stutzerimonas stutzeri	0.0192307692307692	0	0	0.000189064733186034	0	0.0166320166320166
303	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	0.0384615384615385	0	0	0.000148787093014075	0	0.0105708245243129
158627	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas graminis	0.0240384615384615	0	0	0.000146907788943189	0	0.0223214285714286
1310	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sobrinus	0.0480769230769231	0	0	0.000817490744806307	0	0.0277185501066098
2714946	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus coleopterorum	0.177884615384615	0	0	0.00106624512390626	0	0.0210084033613445
1054460	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pseudopneumoniae	0.293269230769231	0	0	0.00185081838490265	0.00203355521335254	0.036734693877551
546269	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Filifactor	Filifactor alocis	0.105769230769231	0	0	0.00334140952295383	0	0.130879345603272
981540	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pasteurianus	0.0288461538461538	0	0	0.000498819495464889	0	0.0308008213552361
33945	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus avium	0.0288461538461538	0	0	0.000245026624918292	0	0.0242914979757085
315405	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gallolyticus	0.0144230769230769	0	0	0.000137948779558113	0	0.0246406570841889
521095	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	Lancefieldella parvula	0.0576923076923077	0	0	0.00059992396265556	0	0.028169014084507
29391	Bacteria	Bacillota	Bacilli	Bacillales	Bacillales_unclassified	Gemella	Gemella morbillorum	0.225961538461538	0	0	0.00226035307319542	0	0.0528455284552846
726	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus haemolyticus	0.168269230769231	0	0	0.0025323591008821	0	0.0674846625766871
33025	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium faecium	0.0721153846153846	0	0	0.000417922459661427	0	0.020703933747412
1582259	Bacteria	Bacillota	Tissierellia	Tissierellales	Tissierellaceae	Gudongella	Gudongella oleilytica	0.0288461538461538	0	0	9.87310971559646e-05	0	0.00607287449392713
490	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria sicca	0.125	0	0	0.00110961185209321	0	0.0247933884297521
1765049	Bacteria	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	Azospira sp. I09	0.0432692307692308	0	0	0.000454866631704197	0	0.0526315789473684
908937	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella dentalis	0.0336538461538462	0	0	0.000130240344770347	0	0.0106609808102345
28141	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii	0.0288461538461538	0	0	0.000170829909704005	0	0.0111607142857143
488	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa	0.153846153846154	0	0	0.00208706605112662	0	0.0971074380165289
218144	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus carniphilus	0.0480769230769231	0	0	0.000108475198898907	0	0.00420168067226891
1276282	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pasteuri	0.105769230769231	0	0	0.0022595390017239	0	0.126530612244898
84135	Bacteria	Bacillota	Bacilli	Bacillales	Bacillales_unclassified	Gemella	Gemella sanguinis	0.1875	0	0	0.00177860398980123	0	0.0482897384305835
862968	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus constellatus	0.0384615384615385	0	0	0.000119256744444966	0	0.00851063829787234
550	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	0.0432692307692308	0	0	0.000171315553261587	0	0.0118764845605701
1302	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gordonii	0.245192307692308	0	0	0.00337083937642455	0	0.0813008130081301
1266845	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium inhibens	0.0673076923076923	0	0	0.000268190905305614	0	0.0105042016806723
44008	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus cecorum	0.0865384615384615	0	0	0.000488570524065726	0	0.036
417368	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus thailandicus	0.0480769230769231	0	0	0.000167864858028301	0	0.00630252100840336
1296669	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Aquabacterium	Aquabacterium olei	0.153846153846154	0	0	0.00412027613846262	0	0.129107981220657
624	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei	0.0240384615384615	0	0	0.00023710235407311	0	0.0165094339622642
2025492	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. M0911	0.110576923076923	0	0	0.00118095099137124	0	0.0571428571428571
526944	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus osmophilus	0.0769230769230769	0	0	0.000325859942868135	0	0.0103734439834025
223967	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylorubrum	Methylorubrum populi	0.120192307692308	0	0	0.00136206887130981	0	0.0733752620545073
104955	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus frumenti	0.0288461538461538	0	0	0.000169700605983634	0	0.0146750524109015
712310	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus sp. oral taxon 036	0.100961538461538	0	0	0.00182501550668568	0	0.123983739837398
945021	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus halophilus	0.0528846153846154	0	0	0.000117772428647128	0	0.00404858299595142
2751	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium maltaromaticum	0.0240384615384615	0	0	0.000109658842321806	0	0.0105042016806723
